all_recipients,crs_sector_name,flow,flow_class,funding_agency,intent,location_details,latitude,longitude,place_name,usd_defl_2014,year,project_title,recipient_condensed,round_coded
Botswana,Other Social infrastructure and services,Loan (excluding debt rescheduling),Vague (Official Finance),"Unspecified Chinese Government Institution, Government Agency",Development,Gaborone,-24.65451,25.90859,Gaborone,19577544.0,2004,China Finances Multi-Purpose Youth Centre,Botswana,ChinatoAfrica
Botswana,Other Social infrastructure and services,Loan (excluding debt rescheduling),Vague (Official Finance),"Unspecified Chinese Government Institution, Government Agency",Development,Gaborone,-19.98333,23.41667,Maun,19577544.0,2004,China Finances Multi-Purpose Youth Centre,Botswana,ChinatoAfrica
Botswana,Other Social infrastructure and services,Loan (excluding debt rescheduling),Vague (Official Finance),"Unspecified Chinese Government Institution, Government Agency",Development,Gaborone,-21.16995,27.50788,Francistown,19577544.0,2004,China Finances Multi-Purpose Youth Centre,Botswana,ChinatoAfrica
Botswana,Other Social infrastructure and services,Loan (excluding debt rescheduling),Vague (Official Finance),"Unspecified Chinese Government Institution, Government Agency",Development,Gaborone,-24.76234,25.7995,Gaborone,19577544.0,2004,China Finances Multi-Purpose Youth Centre,Botswana,ChinatoAfrica
Botswana,Other Social infrastructure and services,Loan (excluding debt rescheduling),Vague (Official Finance),"Unspecified Chinese Government Institution, Government Agency",Development,Gaborone,-24.67083,25.90444,Madirelo,19577544.0,2004,China Finances Multi-Purpose Youth Centre,Botswana,ChinatoAfrica
Benin,Action Relating to Debt,Debt forgiveness,ODA-like,"Unspecified Chinese Government Institution, Government Agency",Development,unknown,0.0,0.0,Benin,62781656.20338983,2006,China provides debt relief to Benin during tour,Benin,ChinatoAfrica
Botswana,Health,Free-standing technical assistance,ODA-like,"Unspecified Chinese Government Institution, Government Agency",Development,unknown,0.0,0.0,Botswana,14300970.89090909,2005,11th Chinese Medical Team,Botswana,ChinatoAfrica
Botswana,Other Social infrastructure and services,Loan (excluding debt rescheduling),ODA-like,"Export-Import Bank of China, Government Agency",Development,Gaborone,-24.65451,25.90859,Gaborone,17333397.0,2006,Eximbank loan for housing project,Botswana,ChinatoAfrica
Botswana,Other Social infrastructure and services,Loan (excluding debt rescheduling),ODA-like,"Export-Import Bank of China, Government Agency",Development,Gaborone,-24.76234,25.7995,Gaborone,17333397.0,2006,Eximbank loan for housing project,Botswana,ChinatoAfrica
Botswana,Other Social infrastructure and services,Loan (excluding debt rescheduling),ODA-like,"Export-Import Bank of China, Government Agency",Development,Gaborone,0.0,0.0,Botswana,17333397.0,2006,Eximbank loan for housing project,Botswana,ChinatoAfrica
Benin,Education,Scholarships/training in the donor country,ODA-like,"Unspecified Chinese Government Institution, Government Agency",Development,unknown,6.36536,2.41833,Cotonou,32472457.33950617,2005,China trains 92 people from Benin,Benin,ChinatoAfrica
Benin,Education,Scholarships/training in the donor country,ODA-like,"Unspecified Chinese Government Institution, Government Agency",Development,unknown,0.0,0.0,Benin,32472457.33950617,2005,China trains 92 people from Benin,Benin,ChinatoAfrica
Botswana,Education,Grant,ODA-like,"Unspecified Chinese Government Institution, Government Agency",Development,Francistown,-21.16995,27.50788,Francistown,220729.0,2006,China provides improved technology to Botswana Democratic Party ,Botswana,ChinatoAfrica
Botswana,Education,Grant,ODA-like,"Unspecified Chinese Government Institution, Government Agency",Development,Francistown,0.0,0.0,Botswana,220729.0,2006,China provides improved technology to Botswana Democratic Party ,Botswana,ChinatoAfrica
Botswana,Education,Grant,ODA-like,"Unspecified Chinese Government Institution, Government Agency",Development,"Serowe, Maun",-22.38754,26.71077,Serowe,2139369.0,2007,Construction Primary Schools,Botswana,ChinatoAfrica
Botswana,Education,Grant,ODA-like,"Unspecified Chinese Government Institution, Government Agency",Development,"Serowe, Maun",-19.98333,23.41667,Maun,2139369.0,2007,Construction Primary Schools,Botswana,ChinatoAfrica
Botswana,"Agriculture, Forestry and Fishing",Free-standing technical assistance,ODA-like,"Unspecified Chinese Government Institution, Government Agency",Development,unknown,0.0,0.0,Botswana,50746213.31132075,2009,China sends 3 agricultural experts,Botswana,ChinatoAfrica
Botswana,Energy Generation and Supply,Loan (excluding debt rescheduling),OOF-like,"Industrial and Commercial Bank of China (ICBC), State-Owned Company",Commercial,unknown,-22.52233,27.04883,Morupule B Power Station,1119606500.0,2009,ICBC loans 825 million for Morupule B Power Station expansion project,Botswana,AdditionalCoded
Botswana,Other Social infrastructure and services,Grant,ODA-like,"Nantong Municipal Council, Government Agency",Development,Gaborone,-24.76234,25.7995,Gaborone,74569551.5862069,2009,China donates table tennis equipment to Botswana,Botswana,ChinatoAfrica
Botswana,Other Social infrastructure and services,Grant,ODA-like,"Nantong Municipal Council, Government Agency",Development,Gaborone,0.0,0.0,Botswana,74569551.5862069,2009,China donates table tennis equipment to Botswana,Botswana,ChinatoAfrica
Botswana,Education,Grant,ODA-like,"Nantong Municipal Council, Government Agency",Development,Gaborone,-24.65451,25.90859,Gaborone,3793.0,2009,China donates photocopier and computer to primary school,Botswana,ChinatoAfrica
Botswana,Education,Grant,ODA-like,"Nantong Municipal Council, Government Agency",Development,Gaborone,-24.76234,25.7995,Gaborone,3793.0,2009,China donates photocopier and computer to primary school,Botswana,ChinatoAfrica
Botswana,Education,Grant,OOF-like,"Confucius Institute, Government Agency",Representational,unknown,-24.66111,25.93167,University of Botswana,32472457.33950617,2007,Confucius Institute at University of Botswana,Botswana,ChinatoAfrica
Botswana,Education,Grant,OOF-like,"Confucius Institute, Government Agency",Representational,unknown,0.0,0.0,Botswana,32472457.33950617,2007,Confucius Institute at University of Botswana,Botswana,ChinatoAfrica
Angola,Emergency Response,Grant,ODA-like,"Unspecified Chinese Government Institution, Government Agency",Development,unknown,0.0,0.0,Angola,1365342.0,2002,Buying Goods for UNITA Soldiers,Angola,ChinatoAfrica
Angola,Emergency Response,Grant,ODA-like,"Unspecified Chinese Government Institution, Government Agency",Development,unknown,-8.83682,13.23432,Luanda,678053.0,2002,"China donates $300,000 USD worth of medicine, equipment and humanitarian aid",Angola,ChinatoAfrica
Angola,Emergency Response,Grant,ODA-like,"Unspecified Chinese Government Institution, Government Agency",Development,unknown,0.0,0.0,Angola,678053.0,2002,"China donates $300,000 USD worth of medicine, equipment and humanitarian aid",Angola,ChinatoAfrica
Angola,Government and Civil Society,Grant,ODA-like,"Unspecified Chinese Government Institution, Government Agency",Development,unknown,-8.83682,13.23432,Luanda,17190664.903614458,2002,China donates computers to Angola political party,Angola,ChinatoAfrica
Sierra Leone,Communications,Loan (excluding debt rescheduling),ODA-like,"Export-Import Bank of China, Government Agency",Development,"Freetown, provincial towns",0.0,0.0,Sierra Leone,22889957.0,2008,China provides $16.6 million loan to Sierra Leone for wireless network upgrade,Sierra Leone,ChinatoAfrica
Angola,Communications,Scholarships/training in the donor country,ODA-like,"Unspecified Chinese Government Institution, Government Agency",Development,unknown,0.0,0.0,Angola,103366330.93470791,2004,Journalist exchange,Angola,ChinatoAfrica
Angola,"Agriculture, Forestry and Fishing",Grant,ODA-like,"Unspecified Chinese Government Institution, Government Agency",Development,Malanje Province,-9.67548,16.82553,Malanje Province,1964716.0,2005,China donates 46 containers of agricultural inputs to Angola,Angola,ChinatoAfrica
Angola,"Agriculture, Forestry and Fishing",Grant,ODA-like,"Unspecified Chinese Government Institution, Government Agency",Development,Malanje Province,-9.54015,16.34096,Malanje,1964716.0,2005,China donates 46 containers of agricultural inputs to Angola,Angola,ChinatoAfrica
Angola,Communications,Loan (excluding debt rescheduling),Vague (Official Finance),"Export-Import Bank of China, Government Agency",Development,"Luanda, Benguela and Lobito",0.0,0.0,Angola,135524775.0,2005,Telecommunications Networking--ZTE Corporation and Mundo Startel ,Angola,ChinatoAfrica
Angola,Water Supply and Sanitation,Loan (excluding debt rescheduling),ODA-like,"Export-Import Bank of China, Government Agency",Development,"Luanda, Cacuaco",-8.91666,13.33924,Luanda Province,39709939.0,2008,Complemetary Action: Water Projects,Angola,ChinatoAfrica
Angola,Water Supply and Sanitation,Loan (excluding debt rescheduling),ODA-like,"Export-Import Bank of China, Government Agency",Development,"Luanda, Cacuaco",-8.7798,13.37478,Cacuaco,39709939.0,2008,Complemetary Action: Water Projects,Angola,ChinatoAfrica
Angola,Water Supply and Sanitation,Loan (excluding debt rescheduling),ODA-like,"Export-Import Bank of China, Government Agency",Development,"Luanda, Cacuaco",-8.83682,13.23432,Luanda,39709939.0,2008,Complemetary Action: Water Projects,Angola,ChinatoAfrica
Angola,Water Supply and Sanitation,Loan (excluding debt rescheduling),ODA-like,"Export-Import Bank of China, Government Agency",Development,"Luanda, Cacuaco",0.0,0.0,Angola,39709939.0,2008,Complemetary Action: Water Projects,Angola,ChinatoAfrica
Angola,Transport and Storage,Loan (excluding debt rescheduling),OOF-like,"Export-Import Bank of China, Government Agency",Development,"Caxito, Uige, Negage",-7.75938,15.2722,Negage,77683137.0,2008,"Complementary Action: Rehabilitation of Roads for Caxito, Uige, and Negage cities (Related to Project ID#64 and ID#65)",Angola,ChinatoAfrica
Angola,Transport and Storage,Loan (excluding debt rescheduling),OOF-like,"Export-Import Bank of China, Government Agency",Development,"Caxito, Uige, Negage",-6.05716,15.10971,Maquela do Zombo,77683137.0,2008,"Complementary Action: Rehabilitation of Roads for Caxito, Uige, and Negage cities (Related to Project ID#64 and ID#65)",Angola,ChinatoAfrica
Angola,Transport and Storage,Loan (excluding debt rescheduling),OOF-like,"Export-Import Bank of China, Government Agency",Development,"Caxito, Uige, Negage",-7.60874,15.06131,Uíge,77683137.0,2008,"Complementary Action: Rehabilitation of Roads for Caxito, Uige, and Negage cities (Related to Project ID#64 and ID#65)",Angola,ChinatoAfrica
Angola,Transport and Storage,Loan (excluding debt rescheduling),OOF-like,"Export-Import Bank of China, Government Agency",Development,"Caxito, Uige, Negage",-8.57848,13.66425,Caxito,77683137.0,2008,"Complementary Action: Rehabilitation of Roads for Caxito, Uige, and Negage cities (Related to Project ID#64 and ID#65)",Angola,ChinatoAfrica
Guinea,Energy Generation and Supply,Grant,ODA-like,"Unspecified Chinese Government Institution, Government Agency",Development,"Tinkisso, Guinea",10.51667,-11.45,Tinkisso,4121588.0,2004,China provides 2 million USD for the rehabilitation of two power plants ,Guinea,ChinatoAfrica
Guinea,Energy Generation and Supply,Grant,ODA-like,"Unspecified Chinese Government Institution, Government Agency",Development,"Tinkisso, Guinea",11.25,-10.61667,Tinkisso,4121588.0,2004,China provides 2 million USD for the rehabilitation of two power plants ,Guinea,ChinatoAfrica
"Congo, Dem. Rep.",Water Supply and Sanitation,Grant,ODA-like,"Unspecified Chinese Government Institution, Government Agency",Development,unknown,-5.76583,17.09035,Mosaka,3240810.0,2005,1.65 million USD grant for Mosaka water supply project,"Congo, Dem. Rep.",EcologicallySensitive
Ethiopia,Transport and Storage,Grant,ODA-like,"Unspecified Chinese Government Institution, Government Agency",Development,"Gotera-Wollo, Addis Ababa",14.16667,38.83333,Tigray,6477684.0,2003,Gottera-Wolo Sefer Road,Ethiopia,ChinatoAfrica
Ethiopia,Transport and Storage,Grant,ODA-like,"Unspecified Chinese Government Institution, Government Agency",Development,"Gotera-Wollo, Addis Ababa",9.0,38.75,Ādīs Ābeba Āstedader,6477684.0,2003,Gottera-Wolo Sefer Road,Ethiopia,ChinatoAfrica
Ethiopia,Transport and Storage,Grant,ODA-like,"Unspecified Chinese Government Institution, Government Agency",Development,"Gotera-Wollo, Addis Ababa",12.68333,39.55,Sefer,6477684.0,2003,Gottera-Wolo Sefer Road,Ethiopia,ChinatoAfrica
Ethiopia,Transport and Storage,Grant,ODA-like,"Unspecified Chinese Government Institution, Government Agency",Development,"Gotera-Wollo, Addis Ababa",9.02497,38.74689,Addis Ababa,6477684.0,2003,Gottera-Wolo Sefer Road,Ethiopia,ChinatoAfrica
Ethiopia,Transport and Storage,Grant,ODA-like,"Unspecified Chinese Government Institution, Government Agency",Development,"Gotera-Wollo, Addis Ababa",12.96033,39.52831,Southern Tigray Zone,6477684.0,2003,Gottera-Wolo Sefer Road,Ethiopia,ChinatoAfrica
Ethiopia,Transport and Storage,Grant,ODA-like,"Unspecified Chinese Government Institution, Government Agency",Development,"Gotera-Wollo, Addis Ababa",9.02047,38.74457,Addis Ababa Zone 1,6477684.0,2003,Gottera-Wolo Sefer Road,Ethiopia,ChinatoAfrica
Niger,Water Supply and Sanitation,Free-standing technical assistance,ODA-like,"Unspecified Chinese Government Institution, Government Agency",Development,Zinder,15.0,10.5,Zinder,9040705.0,2002,Zinder Water Supply Project,Niger,ChinatoAfrica
Niger,Water Supply and Sanitation,Free-standing technical assistance,ODA-like,"Unspecified Chinese Government Institution, Government Agency",Development,Zinder,0.0,0.0,Niger,9040705.0,2002,Zinder Water Supply Project,Niger,ChinatoAfrica
"Congo, Rep.",Water Supply and Sanitation,Grant,ODA-like,"Unspecified Chinese Government Institution, Government Agency",Development,unknown,-3.68192,13.34985,Sibiti,11372296.0,2005,China grants 5.79 million USD for Sibiti water supply project,"Congo, Rep.",ChinatoAfrica
Gabon,Energy Generation and Supply,Loan (excluding debt rescheduling),ODA-like,"Unspecified Chinese Government Institution, Government Agency",Development,Poubara ,-1.3,13.9,Province du Haut-Ogooué,114587678.0,2008,Loan for Grand Poubara Hydroelectric Project ,Gabon,ChinatoAfrica
Gabon,Energy Generation and Supply,Loan (excluding debt rescheduling),ODA-like,"Unspecified Chinese Government Institution, Government Agency",Development,Poubara ,-1.63333,13.58357,Franceville,114587678.0,2008,Loan for Grand Poubara Hydroelectric Project ,Gabon,ChinatoAfrica
Gabon,Energy Generation and Supply,Loan (excluding debt rescheduling),ODA-like,"Unspecified Chinese Government Institution, Government Agency",Development,Poubara ,-1.76203,13.55207,Chute de Poubara,114587678.0,2008,Loan for Grand Poubara Hydroelectric Project ,Gabon,ChinatoAfrica
Equatorial Guinea,Transport and Storage,Loan (excluding debt rescheduling),Vague (Official Finance),"Unspecified Chinese Government Institution, Government Agency",Development,unknown,1.5,10.41667,Provincia de Centro Sur,13043499.0,2003,China funds 5.92 million USD for rehabilitation of the Bata-Niefang road in Equatorial Guinea,Equatorial Guinea,ChinatoAfrica
Equatorial Guinea,Transport and Storage,Loan (excluding debt rescheduling),Vague (Official Finance),"Unspecified Chinese Government Institution, Government Agency",Development,unknown,1.5,9.75,Provincia de Litoral,13043499.0,2003,China funds 5.92 million USD for rehabilitation of the Bata-Niefang road in Equatorial Guinea,Equatorial Guinea,ChinatoAfrica
Equatorial Guinea,Transport and Storage,Loan (excluding debt rescheduling),Vague (Official Finance),"Unspecified Chinese Government Institution, Government Agency",Development,unknown,1.85087,10.25187,Niefang,13043499.0,2003,China funds 5.92 million USD for rehabilitation of the Bata-Niefang road in Equatorial Guinea,Equatorial Guinea,ChinatoAfrica
Equatorial Guinea,Transport and Storage,Loan (excluding debt rescheduling),Vague (Official Finance),"Unspecified Chinese Government Institution, Government Agency",Development,unknown,1.86391,9.76582,Bata,13043499.0,2003,China funds 5.92 million USD for rehabilitation of the Bata-Niefang road in Equatorial Guinea,Equatorial Guinea,ChinatoAfrica
Equatorial Guinea,Transport and Storage,Loan (excluding debt rescheduling),Vague (Official Finance),"Unspecified Chinese Government Institution, Government Agency",Development,unknown,1.83333,10.25,Sevilla de Niefang,13043499.0,2003,China funds 5.92 million USD for rehabilitation of the Bata-Niefang road in Equatorial Guinea,Equatorial Guinea,ChinatoAfrica
Equatorial Guinea,Transport and Storage,Loan (excluding debt rescheduling),Vague (Official Finance),"Unspecified Chinese Government Institution, Government Agency",Development,unknown,0.0,0.0,Equatorial Guinea,13043499.0,2003,China funds 5.92 million USD for rehabilitation of the Bata-Niefang road in Equatorial Guinea,Equatorial Guinea,ChinatoAfrica
Burundi,Communications,Loan (excluding debt rescheduling),ODA-like,"Export-Import Bank of China, Government Agency",Development,"Bujumbura and its suburbs, three other cities",-3.3822,29.3644,Bujumbura,16300881.0,2004,Exim Bank Provides Loan for GSM mobile telecommunication project,Burundi,EcologicallySensitive
Burundi,Communications,Loan (excluding debt rescheduling),ODA-like,"Export-Import Bank of China, Government Agency",Development,"Bujumbura and its suburbs, three other cities",0.0,0.0,Burundi,16300881.0,2004,Exim Bank Provides Loan for GSM mobile telecommunication project,Burundi,EcologicallySensitive
Equatorial Guinea,Transport and Storage,Loan (excluding debt rescheduling),Vague (Official Finance),"Unspecified Chinese Government Institution, Government Agency",Development,unknown,1.5,10.41667,Provincia de Centro Sur,25872323.0,2001,China funds 11 million USD for construction of Niefang-Nkue road in Equatorial Guinea,Equatorial Guinea,ChinatoAfrica
Equatorial Guinea,Transport and Storage,Loan (excluding debt rescheduling),Vague (Official Finance),"Unspecified Chinese Government Institution, Government Agency",Development,unknown,2.05,11.0,Provincia de Kié-Ntem,25872323.0,2001,China funds 11 million USD for construction of Niefang-Nkue road in Equatorial Guinea,Equatorial Guinea,ChinatoAfrica
Equatorial Guinea,Transport and Storage,Loan (excluding debt rescheduling),Vague (Official Finance),"Unspecified Chinese Government Institution, Government Agency",Development,unknown,1.85087,10.25187,Niefang,25872323.0,2001,China funds 11 million USD for construction of Niefang-Nkue road in Equatorial Guinea,Equatorial Guinea,ChinatoAfrica
Equatorial Guinea,Transport and Storage,Loan (excluding debt rescheduling),Vague (Official Finance),"Unspecified Chinese Government Institution, Government Agency",Development,unknown,2.01643,10.47066,Ncue,25872323.0,2001,China funds 11 million USD for construction of Niefang-Nkue road in Equatorial Guinea,Equatorial Guinea,ChinatoAfrica
Equatorial Guinea,Transport and Storage,Loan (excluding debt rescheduling),Vague (Official Finance),"Unspecified Chinese Government Institution, Government Agency",Development,unknown,1.83333,10.25,Sevilla de Niefang,25872323.0,2001,China funds 11 million USD for construction of Niefang-Nkue road in Equatorial Guinea,Equatorial Guinea,ChinatoAfrica
Ethiopia,Transport and Storage,Vague TBD,Vague (Official Finance),"Unspecified Chinese Government Institution, Government Agency",Development,Gotera Intersection in Addis Ababa,9.0,38.75,Ādīs Ābeba Āstedader,23378914.0,2006,China finances construction of the Gotera Intersection Bridge in Addis Ababa,Ethiopia,ChinatoAfrica
Ethiopia,Transport and Storage,Vague TBD,Vague (Official Finance),"Unspecified Chinese Government Institution, Government Agency",Development,Gotera Intersection in Addis Ababa,9.02497,38.74689,Addis Ababa,23378914.0,2006,China finances construction of the Gotera Intersection Bridge in Addis Ababa,Ethiopia,ChinatoAfrica
Ethiopia,Transport and Storage,Vague TBD,Vague (Official Finance),"Unspecified Chinese Government Institution, Government Agency",Development,Gotera Intersection in Addis Ababa,9.02047,38.74457,Addis Ababa Zone 1,23378914.0,2006,China finances construction of the Gotera Intersection Bridge in Addis Ababa,Ethiopia,ChinatoAfrica
Ethiopia,Transport and Storage,Loan (excluding debt rescheduling),ODA-like,"Unspecified Chinese Government Institution, Government Agency",Development,Addis Ababa,9.0,38.75,Ādīs Ābeba Āstedader,29461908.0,2005,China loans Ethiopia 15 million USD for Addis Ababa Ring Road Phase II,Ethiopia,ChinatoAfrica
Ethiopia,Transport and Storage,Loan (excluding debt rescheduling),ODA-like,"Unspecified Chinese Government Institution, Government Agency",Development,Addis Ababa,9.02497,38.74689,Addis Ababa,29461908.0,2005,China loans Ethiopia 15 million USD for Addis Ababa Ring Road Phase II,Ethiopia,ChinatoAfrica
Ethiopia,Transport and Storage,Loan (excluding debt rescheduling),ODA-like,"Unspecified Chinese Government Institution, Government Agency",Development,Addis Ababa,9.02047,38.74457,Addis Ababa Zone 1,29461908.0,2005,China loans Ethiopia 15 million USD for Addis Ababa Ring Road Phase II,Ethiopia,ChinatoAfrica
Angola,Energy Generation and Supply,Loan (excluding debt rescheduling),ODA-like,"Export-Import Bank of China, Government Agency; China Construction Bank Corporation (CCB), State-Owned Company",Development,unknown,-8.91666,13.33924,Luanda Province,33902643.0,2002,Phase 1: Rehabilitation and Extension of the Electrical System in Luanda,Angola,ChinatoAfrica
Angola,Energy Generation and Supply,Loan (excluding debt rescheduling),ODA-like,"Export-Import Bank of China, Government Agency; China Construction Bank Corporation (CCB), State-Owned Company",Development,unknown,-8.83682,13.23432,Luanda,33902643.0,2002,Phase 1: Rehabilitation and Extension of the Electrical System in Luanda,Angola,ChinatoAfrica
Botswana,Transport and Storage,Loan (excluding debt rescheduling),ODA-like,"Export-Import Bank of China, Government Agency",Development,"Kweneng, Souther, and Kgalagadi Districts",-24.05791,23.28187,Motokwe,32173844.0,2004,Dutlwe-Morwamosu Road (Letlhakeng-Kang Phase 2) linked to project ID#119,Botswana,ChinatoAfrica
Botswana,Transport and Storage,Loan (excluding debt rescheduling),ODA-like,"Export-Import Bank of China, Government Agency",Development,"Kweneng, Souther, and Kgalagadi Districts",-24.08588,23.07867,Morwamosu,32173844.0,2004,Dutlwe-Morwamosu Road (Letlhakeng-Kang Phase 2) linked to project ID#119,Botswana,ChinatoAfrica
Botswana,Transport and Storage,Loan (excluding debt rescheduling),ODA-like,"Export-Import Bank of China, Government Agency",Development,"Kweneng, Souther, and Kgalagadi Districts",-23.98333,23.9,Dutlwe,32173844.0,2004,Dutlwe-Morwamosu Road (Letlhakeng-Kang Phase 2) linked to project ID#119,Botswana,ChinatoAfrica
Botswana,Transport and Storage,Loan (excluding debt rescheduling),ODA-like,"Export-Import Bank of China, Government Agency",Development,"Kweneng, Souther, and Kgalagadi Districts",-23.87813,23.67398,Tshwaane,32173844.0,2004,Dutlwe-Morwamosu Road (Letlhakeng-Kang Phase 2) linked to project ID#119,Botswana,ChinatoAfrica
Kenya,Transport and Storage,Loan (excluding debt rescheduling),ODA-like,"Unspecified Chinese Government Institution, Government Agency",Development,Western Kenya,0.072,34.712,Vihiga,43407550.0,2001,China Loans 1.5 billion Shillings for Kipsigak-Serem-Shamakhokho road project,Kenya,EcologicallySensitive
Kenya,Transport and Storage,Loan (excluding debt rescheduling),ODA-like,"Unspecified Chinese Government Institution, Government Agency",Development,Western Kenya,0.11094,34.83074,Shamakhokho,43407550.0,2001,China Loans 1.5 billion Shillings for Kipsigak-Serem-Shamakhokho road project,Kenya,EcologicallySensitive
Kenya,Transport and Storage,Loan (excluding debt rescheduling),ODA-like,"Unspecified Chinese Government Institution, Government Agency",Development,Western Kenya,0.30846,35.08311,Nandi North District,43407550.0,2001,China Loans 1.5 billion Shillings for Kipsigak-Serem-Shamakhokho road project,Kenya,EcologicallySensitive
