project_title,recipients,ad_sector_names,transactions_start_year,total_commitments
2nd Additional Financing for Small Towns Water Supply & Sanitation Project,Ghana,"Water supply and sanitation|Government and civil society, general",2009,15524470.9648
Liberia Integrated Public Financial Management Reform Project,Liberia,"Government and civil society, general",2011,5000000.0
ANGOLA EMERGENCY MULTI-SECTOR RECOVERY - PHASE 2,Angola,"Water supply and sanitation|Energy generation and supply|Transport and storage|Government and civil society, general",2007,108848301.942
Health System Performance,Benin,"Health, general|Health",2010,23286040.9162
CF-EMERGENCY PUBLIC SERVICES RESPONSE PROJECT,Central African Republic,"Government and civil society, general",2014,30000000.0
Emergency Infrastructure Preservation & Vulnerability Reduction Project,Madagascar,"Water supply and sanitation|Education, level unspecified|Agriculture|Transport and storage|Other social infrastructure and services",2012,100148059.08700001
Madagascar Emergency Food Security and Social Protection Project,Madagascar,Forestry|Other social infrastructure and services|Agriculture,2014,65000000.0
Cameroon - Competitive Value Chains,Cameroon,"Trade policy and regulations|Government and civil society, general",2010,30639527.5213
West Africa Regional Fisheries Program APL A1 Additional Financing,Africa,Agriculture,2011,2000000.0
Africa Higher Education Centers of Excellence Project,Western Africa,Water supply and sanitation|Post-secondary education|Agriculture|Mineral resources and mining|Health,2014,150000000.0
Second Additional Financing for Southern African Power Market Project (APL1),Africa,Energy generation and supply,2012,197841508.882
Ninth Poverty Reduction Support Credit (PRSC 9),Mozambique,"Other social infrastructure and services|Mineral resources and mining|Government and civil society, general",2013,113620522.494
Ghana Second Agriculture Development Policy Operation,Ghana,"Agriculture, forestry, fishing|Industry|Agriculture",2010,25532939.6011
EIP Supplemental Component,Liberia,"Water supply and sanitation|Transport and storage|Government and civil society, general|General environmental protection",2006,18118704.1964
Sierra Leone - Emergency Economic and Fiscal Support Operation,Sierra Leone,"Other social infrastructure and services|Banking and financial services|Health|Mineral resources and mining|Government and civil society, general",2014,30000000.0
Botswana - Morupule B Generation and Transmission Project,Botswana,Mineral resources and mining|Energy generation and supply,2009,141169189.307
Community-based Poverty Reduction Project Supplemental,Nigeria,"Water supply and sanitation|Other social infrastructure and services|Transport and storage|Government and civil society, general|Basic education",2007,26678505.3779
Improving Health Sector Performance,Djibouti,"Health, general|Health",2009,7244753.1169300005
DRC Inga 3 and Mid-Size Hydropower Development TA,Democratic Republic of Congo,Water supply and sanitation|Energy generation and supply,2014,73100000.0
CM-Sanitation Project,Cameroon,Water supply and sanitation,2011,30000000.0
Ibadan Urban Flood Management Project,Nigeria,Water supply and sanitation|General environmental protection,2014,200000000.0
Nigeria Agriculture Sector Development Policy Operation,Nigeria,"Agriculture, forestry, fishing|Industry|Agriculture",2013,103291384.08600001
Tanzania Strategic Cities Project,Tanzania,"Water supply and sanitation|Government and civil society, general|General environmental protection|Transport and storage",2010,166474766.199
Community-Based Rural Development,Mauritania,"Water supply and sanitation|Agriculture, forestry, fishing|Government and civil society, general|Transport and storage|Other social infrastructure and services",2004,52705585.6033
Tanzania Poverty Reduction Support Credit 11,Tanzania,"Transport and storage|Government and civil society, general|Energy generation and supply",2014,85000000.0
LB-Environmental Pollution Abatement Project,Lebanon,"Government and civil society, general",2014,15000000.0
Safety Net and Skills Development,South Sudan,Other social infrastructure and services,2013,21691190.658000004
Dokan and Derbandikhan Emergency Hydro Power Project,Iraq,Water supply and sanitation,2006,43924131.3852
Economic Competitiveness Support Program DPL,Morocco,"Government and civil society, general",2013,165266214.537
Kenya Agricultural Productivity Project,Kenya,Agriculture,2004,46849409.4251
Tanzania - Backbone Transmission Investment Project,Tanzania,Energy generation and supply,2010,153197637.607
International Institute for Water and Environmental Engineering (2ie),Burkina Faso,Post-secondary education|Secondary education,2008,5219929.02504
Regional Trade Facilitation Project II,Africa,Banking and financial services,2011,27500000.0
Free Primary Education Support Project,Kenya,Basic education,2003,60210626.4049
GPRC-2 Supplemental Financing,Niger,"Other social infrastructure and services|Banking and financial services|Agriculture|Government and civil society, general",2012,14727655.7481
Second Kampala Institutional and Infrastructure Development Project,Uganda,"Government and civil society, general|Transport and storage|General environmental protection",2014,175000000.0
Health Systems Strengthening and Ebola Preparedness Project,Cote D'Ivoire,"Health, general|Health",2014,70000000.0
TZ-Energy Development & Access Expansion,Tanzania,"Water supply and sanitation|Government and civil society, general|Energy generation and supply",2007,112049722.58700001
West Africa Agricultural Productivity Program (WAAPP),Africa,"Agriculture|Government and civil society, general",2007,48021309.6803
Lesotho: Health Sector Reform Project Phase 2,Lesotho,"Water supply and sanitation|Health, general|Banking and financial services|Health|Government and civil society, general",2005,7368309.68675
Integrated Early Childhood Development Project II,Eritrea,"Other social infrastructure and services|Health|Government and civil society, general|Basic education",2008,12527829.6601
Technical and Vocational Education and Training,Mozambique,"Government and civil society, general|Secondary education",2006,32943098.5389
"Tunisia - Governance, Opportunities and Jobs DPL",Tunisia,"Other social infrastructure and services|Post-secondary education|Banking and financial services|Government and civil society, general|Communications",2012,490921858.269
TG-Economic Recovery & Gov. Credit 5,Togo,"Communications|Banking and financial services|Agriculture|Energy generation and supply|Government and civil society, general",2012,13745812.0315
Stepping Up Skills Project,Guinea,"Post-secondary education|Education, level unspecified|Government and civil society, general|Secondary education",2014,20000000.0
Petroleum Development and Pipeline Project,Chad,Communications|Mineral resources and mining|Transport and storage,2000,50468292.7329
3rd Social Action Fund (FAS III),Angola,"Water supply and sanitation|Education, level unspecified|Health|Government and civil society, general|Other social infrastructure and services",2003,66231689.0454
MG - Prviate Sector Development II,Madagascar,"Banking and financial services|Government and civil society, general",2001,29736777.5419
Botswana National HIV/AIDS Prevention Support Project,Botswana,"Other social infrastructure and services|Health|Health, general",2008,52199290.2504
Kenya Petroleum Technical Assistance Project (KEPTAP),Kenya,Mineral resources and mining|Energy generation and supply,2014,50000000.0
Tanzania: Third Additional Financing for Agricultural Sector Development Project,Tanzania,"Agriculture, forestry, fishing|Industry|Agriculture|Government and civil society, general",2012,29455311.4962
Decentralized Rural Electrification Project,Guinea,Banking and financial services|Energy generation and supply,2002,6147683.18657
Yemen-Water Sector Support,Yemen,Water supply and sanitation|Agriculture,2009,93146825.78899999
Multi-Sectoral AIDS Project,Tanzania,"Other social infrastructure and services|Health|Government and civil society, general",2003,84294876.9668
Urban Project (05),Ghana,"Water supply and sanitation|Other social infrastructure and services|Industry|Government and civil society, general|Transport and storage",2000,13837255.9569
Poverty Reduction Strategy Credit,Madagascar,"Water supply and sanitation|Education, level unspecified|Health|Government and civil society, general",2007,42685608.6047
eRwanda Project,Rwanda,"Communications|Government and civil society, general",2006,10981032.8463
DJ-FLOOD EMERGENCY REHABILITATION,Djibouti,"Water supply and sanitation|Education, level unspecified|Health|General environmental protection|Transport and storage",2004,7566179.622160001
Uganda - Financial Sector DPL (1 of 2),Uganda,"Other social infrastructure and services|Banking and financial services|Government and civil society, general",2011,50000000.0
Malawi: Shire River Basin Management Program (Phase-I) Project,Malawi,"Water supply and sanitation|Agriculture, forestry, fishing|Agriculture|Government and civil society, general",2012,122730464.567
DRC Health Sector Rehabilitation Support Project,Democratic Republic of Congo,"Health|Government and civil society, general",2005,170037915.848
Public Expenditure Adjustment Credit Project,Niger,"Water supply and sanitation|Communications|Health|Government and civil society, general|Education, level unspecified",2001,87461110.4173
Emergency Demobilization & Reintegration,Eritrea,"Other social infrastructure and services|Agriculture, forestry, fishing|Banking and financial services|Government and civil society, general|Secondary education",2002,73772198.2389
Rural Community-Driven Development Project,Guinea-Bissau,"Water supply and sanitation|Education, level unspecified|Agriculture, forestry, fishing|Other social infrastructure and services",2009,5174823.65495
"DJ- Power Access and Diversification, Additonal Financing",Djibouti,Energy generation and supply,2010,6127905.504269999
Mali Rural Electrification Hybrid System Project,Mali,Water supply and sanitation|Energy generation and supply,2013,25822846.0214
MA Capital Market Development & SME Finance DPL,Morocco,"Banking and financial services|Government and civil society, general",2014,300000000.0
SN-Elec. Serv. for Rural Areas (FY05),Senegal,"Water supply and sanitation|Agriculture, forestry, fishing|Banking and financial services|Government and civil society, general|Energy generation and supply",2004,35019933.5453
IRAN - Alborz Integrated Land and Water Management Project,Iran,"Forestry|Agriculture, forestry, fishing|Agriculture|Government and civil society, general",2005,136030332.678
RW-Support to Social Protection System,Rwanda,Other social infrastructure and services,2012,39273748.6615
Road Rehabilitation and Maintenance Project,Zambia,"Government and civil society, general|Transport and storage",2004,58561761.7814
Health Services Improvement Project,Zambia,"Health, general|Health",2014,52000000.0
Women Entrepreneurship Development Project,Ethiopia,Banking and financial services|Secondary education,2012,49092185.8269
Competitiveness and Enterprise Development Project,Rwanda,"Communications|Banking and financial services|Energy generation and supply|Government and civil society, general",2001,50977332.9289
Emergency Water and Electricity Services Upgrading Project,Guinea-Bissau,"Water supply and sanitation|Energy generation and supply|Government and civil society, general",2014,22500000.0
Uganda Ninth Poverty Reduction Support Credit,Uganda,"Agriculture, forestry, fishing|Health|Government and civil society, general|Transport and storage|Basic education",2012,98184371.6538
Food Security Project,Ethiopia,"Other social infrastructure and services|Industry|Government and civil society, general|Agriculture, forestry, fishing",2002,104510614.172
Private Sector Competitiveness II,Uganda,"Industry|Trade policy and regulations|Banking and financial services|Government and civil society, general",2004,81986466.494
Second Rural Sector Support,Rwanda,"Agriculture, forestry, fishing|Industry|Agriculture",2008,36539503.1753
ERITREA POWER DISTRIBUTION AND RURAL ELECTRIFICATION PROJECT,Eritrea,"Government and civil society, general|Energy generation and supply",2004,58561761.7814
CG Rep. Support to Economic Diversification Project,Congo,"Banking and financial services|Industry|Transport and storage|Government and civil society, general",2010,10213175.8404
Health Sector Support Project - Additional Financing,Malawi,"Government and civil society, general",2006,5490516.42315
Ethiopia: Social Rehabilitation and Development Fund I Project - Supplemental,Ethiopia,Water supply and sanitation|Health|Agriculture|Basic education,2002,34795886.835999995
MA-Ouarzazate Concentrated Solar Power,Morocco,Energy generation and supply,2011,200000000.0
Judicial Performance Improvement,Kenya,"Communications|Government and civil society, general",2012,117821245.985
Great Lakes Initiative on HIV/AIDS (GLIA) Support,Africa,"Other social infrastructure and services|Government and civil society, general",2005,22671722.1131
The Gambia Integrated Financial Management Information System Project,Gambia,Communications|Banking and financial services,2010,5361917.31623
Emergency Infrastructure Project,Liberia,"Water supply and sanitation|Government and civil society, general|Transport and storage|Energy generation and supply",2006,32943098.5389
3A W/C Africa Air Transport Phase II-B,Africa,Transport and storage,2009,16559435.6958
LB: Mobile Internet Ecosystem Project (MIEP),Lebanon,Communications,2013,6610648.58147
Liberia Accelerated Electricity Expansion Project (LACEEP),Liberia,Mineral resources and mining|Energy generation and supply,2013,36151984.4299
Public Financial Management Improvement and Consolidation Project,Sierra Leone,"Government and civil society, general",2013,12394966.0903
MALI: SAC IV,Mali,"Banking and financial services|Agriculture|Industry|Government and civil society, general",2005,28339652.6413
Structural Adjustment Credit Project (03),Mali,"Education, level unspecified|Health|Government and civil society, general|Agriculture",2001,87461110.4173
EG-Integrated Sanitation & Sew. Infra. 2,Egypt,Water supply and sanitation,2011,200000000.0
Economic Management Technical Assistance Project,Angola,"Banking and financial services|Government and civil society, general",2003,19989927.9664
Rural and Private Sector Development Additional Financing,Sierra Leone,Industry|Agriculture|Transport and storage,2011,20000000.0
BF-Youth Employment & Skills Development,Burkina Faso,Other social infrastructure and services|Secondary education|Basic education,2013,51645692.0428
Household Energy and Universal Access Project,Mali,Energy generation and supply,2003,42930176.6267
AF-Agricultural Diversification and Market Development Project,Burkina Faso,"Industry|Agriculture|Government and civil society, general",2014,50000000.0
GH eTransform Ghana,Ghana,"Communications|Health|Government and civil society, general|Secondary education",2013,100192642.563
Partnership for Polio Eradication Project - 3rd Additional Financing (FY11),Nigeria,Health,2011,60000000.0
Fiscal Reform Support Operation,Mauritania,"Banking and financial services|Government and civil society, general",2000,38330348.9111
Mauritius First Public Sector Performance Development Policy Loan,Mauritius,"Other social infrastructure and services|Government and civil society, general|Secondary education",2012,19636874.3308
MW-PRSC-3,Malawi,"Agriculture|Government and civil society, general",2010,55151149.5384
AGRICULTURAL SERVICES AND PRODUCER ORGANIZATIONS PROJECT,Mali,"Agriculture|Health|Government and civil society, general",2001,54350832.9022
LB - First Municipal Infrastructure Project,Lebanon,"Water supply and sanitation|Transport and storage|Government and civil society, general",2000,102214263.763
WAPP APL 1 (2nd Phase - COASTAL TRANSMISSION BACKBONE),Western Africa,"Water supply and sanitation|Energy generation and supply|Government and civil society, general",2006,65886197.0778
Education Reform for Knowledge Economy I Program,Jordan,Basic education|Secondary education,2003,144505503.372
HIV/AIDS Rapid Response Project,Gambia,"Other social infrastructure and services|Health|Government and civil society, general",2001,18741666.518
TN-Tunis West Sewerage,Tunisia,Water supply and sanitation,2006,73353299.4133
Poverty Reduction Support Credit II,Cabo Verde,"Other social infrastructure and services|Health|Government and civil society, general|Basic education",2006,10981032.8463
ECONOMIC MANAGEMENT CAPACITY BUILDING PROJECT,Nigeria,"Government and civil society, general",2000,25553565.9407
Economic Rehabilitation and Recovery Credit II,Sierra Leone,"Banking and financial services|Government and civil society, general|Mineral resources and mining|Basic education",2001,62472221.7266
Additional Financing for Agricultural Sector Development Project,Tanzania,Agriculture,2009,31048941.9297
National Transport Program Support Project,Chad,"Health|Government and civil society, general|Transport and storage",2000,85604445.9014
Northern Corridor Additional Financing,Kenya,Transport and storage,2009,261846076.94
AO-Emerg MS Recovery ERL (FY05),Angola,"Water supply and sanitation|Health|Agriculture|Government and civil society, general|Basic education",2005,57472815.5566
Emergency Economic Recovery Credit,Madagascar,"Other social infrastructure and services|Education, level unspecified|Health|Transport and storage|Agriculture, forestry, fishing",2002,61476831.8657
AO-Municipal Health Service Strengthening (Revitaliza&#231;&#227;o),Angola,"Health, general|Health",2010,72309284.9503
Health Commodity Security Project,Mozambique,Health,2010,39831385.7777
Burundi Sixth Economic Reform Support Grant - First Operation in the series of 3,Burundi,"Industry|Agriculture|Government and civil society, general",2012,24546092.9135
Nigeria Federal Science & Technical Education at Post-Basic Levels (STEPB),Nigeria,"Post-secondary education|Government and civil society, general|Secondary education",2007,192085238.721
RY-Road Asset Management Project,Yemen,Transport and storage,2013,41316553.6342
BI-Jiji and Mulembwe Hydropower,Burundi,Water supply and sanitation|Energy generation and supply,2014,100000000.0
Maternal and Child Nutrition and Health Results Project,Gambia,"Health|Government and civil society, general",2014,3680000.0
Water Resources Development Flood Response Additional Financing,Mozambique,General environmental protection,2013,33053242.9074
Road Sector Support Project,Ethiopia,Trade policy and regulations|Transport and storage,2014,320000000.0
Ethiopia-Transport Sector Project in Support of RSDP4,Ethiopia,Transport and storage,2012,407465142.36300004
DRC Emergency Urban and Social Rehabilitation Project,Democratic Republic of Congo,"Water supply and sanitation|Education, level unspecified|Health|Transport and storage|Government and civil society, general",2007,192085238.721
Electricity Distribution Rehabilitation Project,Turkey,Energy generation and supply,2007,287487573.953
Northern Uganda Social Action Fund Project,Uganda,"Water supply and sanitation|Agriculture, forestry, fishing|Basic education|Health|Other social infrastructure and services",2002,122953663.731
GH-GAMA Sanitation and Water Project,Ghana,Water supply and sanitation,2013,154937076.128
GN-DPL 1,Guinea,"Mineral resources and mining|Government and civil society, general",2011,78000000.0
Rainfed Agriculture and Livestock Project,Yemen,"Agriculture, forestry, fishing|Industry|Agriculture|Government and civil society, general",2006,21962065.6926
AFCC2/RI-Lake Victoria Environmental Management Project Phase II,Eastern Africa,Water supply and sanitation|Forestry,2009,93146825.78899999
HIV/AIDS Control Project,Uganda,"Education, level unspecified|Health|Government and civil society, general|Other social infrastructure and services",2001,59348610.6403
Emergency Demobilization and Reintegration Project,Ethiopia,Other social infrastructure and services,2000,217971917.474
Urban Local Govt Development Project,Ethiopia,"Water supply and sanitation|Transport and storage|Government and civil society, general",2008,156597870.75100002
Programmatic Governance Reform & Growth,Sierra Leone,"Mineral resources and mining|Government and civil society, general",2006,10981032.8463
Emergency Food and Livestock Crisis Response Project,Chad,Other social infrastructure and services|Agriculture,2014,18000000.0
Programmatic Financial & Public Sector Adjustment Loan (PFPSAL),Turkey,"Banking and financial services|Government and civil society, general",2001,1374388877.99
HIV/AIDS GLOBAL MITIGATION SUPPORT PROJECT,Guinea-Bissau,"Other social infrastructure and services|Health|Government and civil society, general",2004,8198646.6494
Guinea - MSME Development Project,Guinea,"Banking and financial services|Industry|Government and civil society, general",2013,10329138.4086
Regional Trade Facilitation Project - Zambia,Zambia,Banking and financial services,2001,18741666.518
Second Additional Financing for the Third Social Action Fund Project,Malawi,"Education, level unspecified|Transport and storage|Other social infrastructure and services",2012,49092185.8269
Additional Financing for Energy Access Project,Ethiopia,Energy generation and supply,2010,183837165.128
Poverty Reduction Support Credit II,Uganda,"Water supply and sanitation|Education, level unspecified|Health|Government and civil society, general|Other social infrastructure and services",2002,184430495.597
EGYPT-ALEXANDRIA DEVELOPMENT PROJECT,Egypt,"Water supply and sanitation|Other social infrastructure and services|Transport and storage|Government and civil society, general",2007,106714021.51200001
Public Service Reform and Rejuvenation Project,Democratic Republic of Congo,"Government and civil society, general",2013,79534365.7459
LS - Third Poverty Reduction Support Credit,Lesotho,"Other social infrastructure and services|Health|Government and civil society, general",2011,18000000.0
SL Infrastructure Development Project (Transport),Sierra Leone,"Transport and storage|Government and civil society, general",2005,49877788.6487
Jordan Higher Education Development,Jordan,"Post-secondary education|Government and civil society, general",2000,44335436.9071
HIV/AIDS PROJECT,Cabo Verde,"Other social infrastructure and services|Health|Government and civil society, general",2002,11065829.7358
Economic Policy and Public Finance Management Credit,Mali,"Banking and financial services|Industry|Agriculture|Government and civil society, general|Transport and storage",2006,27452582.1158
Mozambique: Communication Sector Reform Project,Mozambique,Communications|Transport and storage,2001,18616722.0745
PUBLIC WORKS AND EMPLOYMENT CREATION PROJECT,Burundi,"Water supply and sanitation|Education, level unspecified|Health|Transport and storage|Government and civil society, general",2001,49977777.3813
Quality of Decentralized Service Delivery Support Development Policy Operation,Rwanda,"Government and civil society, general",2013,51645692.0428
Rural and Social Sector Policy Reform Credit 1,Niger,"Other social infrastructure and services|Agriculture, forestry, fishing|Health|Government and civil society, general|Basic education",2006,54905164.2315
Additional Financing to the Malawi Agricultural Development Program Support Project,Malawi,Industry|Agriculture|Transport and storage,2012,29455311.4962
Power Sector Improvement and Recovery,Madagascar,"Water supply and sanitation|Government and civil society, general|Energy generation and supply",2006,10981032.8463
Women Development Initiatives,Ethiopia,"Other social infrastructure and services|Government and civil society, general",2000,6388391.48518
Tanzania Poverty Reduction Support Credit 3,Tanzania,"Agriculture, forestry, fishing|Government and civil society, general",2005,170037915.848
Post Secondary Education Project,Ethiopia,"Post-secondary education|Government and civil society, general|Secondary education",2004,46849409.4251
Fourth Poverty Reduction Support Credit,Ghana,"Health|Energy generation and supply|Government and civil society, general|Basic education",2006,153734459.848
RAILWAY CONCESSION PROJECT,Cameroon,Other social infrastructure and services|Transport and storage,2002,26299788.6722
BF-Competitiveness & Ent Dev Add Financing,Burkina Faso,"Other social infrastructure and services|Banking and financial services|Government and civil society, general",2010,20426351.6809
Public-Private Partnership and Information Management for Regional Development Project,Madagascar,"Government and civil society, general",2000,5877320.16636
MR - Business Environment Enhancement Project,Mauritania,"Banking and financial services|Energy generation and supply|Government and civil society, general",2008,5219929.02504
Second Social Fund for Development Project,Yemen,"Water supply and sanitation|Other social infrastructure and services|Banking and financial services|Transport and storage|Education, level unspecified",2000,95825872.2777
Community-Based Urban Development Project,Nigeria,"Water supply and sanitation|Education, level unspecified|Industry|Transport and storage|Government and civil society, general",2002,135249030.105
BJ-PRSC 6 Supplemental Credit,Benin,"Water supply and sanitation|Agriculture|Government and civil society, general|Energy generation and supply",2011,22000000.0
Malawi additional financing for Social Action Fund 3 APLII,Malawi,"Education, level unspecified|Agriculture, forestry, fishing|Government and civil society, general|Other social infrastructure and services",2010,14298446.1766
National Agricultural Advisory Services Project,Uganda,"Industry|Agriculture|Government and civil society, general",2001,56224999.5539
Madagascar: Nutrition II - Supplemental Credit,Madagascar,"Health|Agriculture|Government and civil society, general|Basic education",2003,12042125.281
Economic Governance Technical Assistance and Capacity Building,Guinea,"Banking and financial services|Government and civil society, general",2012,9818437.165380001
RY-Integrated Urban Development Project (IUDP),Yemen,"Water supply and sanitation|Government and civil society, general|Transport and storage",2010,22468986.849
BF- First Growth and Competitiveness Credit (GCC-1),Burkina Faso,"Other social infrastructure and services|Banking and financial services|Government and civil society, general|Agriculture, forestry, fishing",2012,88365934.4885
Financial Sector Development & Regionalization Project I (FSDRP I),Africa,Banking and financial services,2011,16000000.0
Water and Sanitation Millennium Project,Senegal,Water supply and sanitation,2010,56172467.1224
TANZANIA SECOND CENTRAL TRANSP CORRIDOR PROJECT - ADD'L FINANC,Tanzania,Transport and storage,2013,103291384.08600001
Business Environment Strengthening Technical Assistance (BESTAP),Malawi,"Banking and financial services|Government and civil society, general",2007,16007103.2268
Skills Development Project,Rwanda,"Education, level unspecified|Basic education|Secondary education",2011,30000000.0
SL Public Sector Pay & Performance,Sierra Leone,"Government and civil society, general",2012,16691343.1812
Rwanda Electricity Access Scale-up and Sector Wide Approach (SWAp) Development Project,Rwanda,Energy generation and supply,2009,72447531.1693
CM - Lom Pangar Hydropower Proj. (FY12),Cameroon,Water supply and sanitation|Other social infrastructure and services|Health|Transport and storage|Energy generation and supply,2012,129603370.58299999
Mine Township Services Project,Zambia,Water supply and sanitation|Health,2000,48168471.7982
Water Sector Support Project,Tanzania,"Water supply and sanitation|Government and civil society, general",2007,213428043.023
Institutional Reform Development Policy Grant,Yemen,"Government and civil society, general",2007,54349451.1559
Cameroon Social Safety Nets,Cameroon,"Other social infrastructure and services|Agriculture, forestry, fishing",2013,51645692.0428
GH:Sustainable Rural Water & Sanit Serv,Ghana,Water supply and sanitation,2010,76598818.8033
Third Shared Growth Credit,Niger,"Agriculture, forestry, fishing|Energy generation and supply|Government and civil society, general|Secondary education",2014,70000000.0
Senegal Health & Nutrition Financing,Senegal,"Health, general|Banking and financial services|Health|Government and civil society, general",2013,20658276.8171
Second Demobilization and Reintegration Project - Additional Financing,Rwanda,Other social infrastructure and services,2014,8970000.0
Additional Financing II for SFD IV,Yemen,"Other social infrastructure and services|Government and civil society, general",2014,50000000.0
Jordan Recovery Under Global Uncertainty Development Policy Loan,Jordan,"Other social infrastructure and services|Banking and financial services|Government and civil society, general",2009,310489419.297
Sustainable Management of Mineral Resources,Nigeria,"Other social infrastructure and services|Banking and financial services|Government and civil society, general|Mineral resources and mining|Secondary education",2004,140548228.275
Fifth Poverty Reduction Support Credit (PRSC5),Mozambique,"Other social infrastructure and services|Agriculture|Government and civil society, general",2008,93958722.4508
